ubigeo,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc5_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,pc3_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
160101,2009,1,12,6,9315,0.3193308710207388,-0.14248166319335337,2.1362106628887836,0.3030291799618914,0.975228096937988,-3.012045390629984,-0.2693012691903619,-0.17401679524420843,-0.762898266510523,-2.468291279876734,-0.5204389546906583,1.6043653821005774,7,19,-1,-7,6,12,0,0,9,20,-3,-8
160101,2009,2,18,4,9315,-0.4606028905291444,0.4262447730038876,1.1411007555622414,1.562233639489507,0.8461624042042096,-2.9717202330867645,-0.07148077400697296,-0.10709189516194616,-0.9037879525430011,-1.7975075418906332,-0.644529328341073,-0.2519799565893477,5,21,-1,-3,4,18,0,0,7,26,-3,-8
160101,2009,3,30,6,9315,-0.00817067800466297,0.35377931968784115,1.8362959289039744,0.3955954200718239,0.7419909200736502,-4.227291707864391,-0.657613680055959,-0.05391579450423844,-0.9530545904121178,-3.023725933272531,-0.3876926815996132,1.4970187435128648,7,30,-1,0,6,30,0,0,9,28,-3,2
160101,2009,4,40,7,9315,0.8424652107854578,-0.14858291094822007,1.438028810682255,0.06879307802836221,1.8410956947082704,-2.023190395596159,-1.354767861947467,0.28205210574382245,-0.3191307923824609,-1.7760541106251473,-0.6333266932331291,-1.1111108894142936,8,49,-1,-9,7,40,0,0,4,35,3,5
160101,2009,5,22,8,9315,0.2323427284323776,-0.8135879627951552,1.8931991837427444,-0.11780204476590768,0.44187974158067167,-0.7108297288566184,-1.096422077066154,0.20705381318425709,-0.07377839685913298,-1.2824283076158818,-0.7533584102399244,-0.9712292911826204,7,36,1,-14,8,23,0,-1,6,30,2,-8
160101,2009,6,37,4,9315,1.9178774070374331,-1.2336083767434387,2.2872776045113445,1.172941944987825,-0.00953383536518717,-1.0943696545264157,-1.4293439211739989,0.17119878777180642,0.02885022137538104,-1.092733894581412,-0.8283290985347891,0.46070311785790097,7,73,-3,-36,4,37,0,0,7,45,-3,-8
160101,2009,7,56,11,9315,1.397567267009171,-1.574907572127534,2.1839185632145366,0.4608389462886672,-0.1230120590059256,0.22242279413040683,-0.8401394001248098,0.02771773314562264,0.15999892426620613,0.3707006260338113,-1.1887926652404786,1.1546792452304218,12,69,-1,-13,11,56,0,0,13,64,-2,-8
160101,2009,8,60,7,9315,-0.31279088480064937,-1.552209580847571,1.789921088764375,0.8388153657753633,-0.2703536889973263,0.3618288515387922,-0.7895109378930639,-0.02616322426922313,0.209201439260178,1.959814253056164,-1.5571343692592317,0.8004991453547783,8,54,-1,6,7,60,0,0,10,52,-3,8
160101,2009,9,38,19,9315,-2.3924516025328413,-0.54847052363259,0.5809932242392737,0.2176162595365133,-1.2126622251033847,1.9911941093889869,0.06912253589495347,-0.7385130542482963,0.6569284548112709,2.366401688291829,-1.6449916348629825,0.4109487824733788,15,40,4,-2,19,43,0,-5,16,44,3,-6
160101,2009,10,33,3,9315,-2.289900575382866,-1.1721320944882148,1.3248306147854425,1.182410845054784,-0.0246045071086562,1.131977732425911,0.5907249109717908,-1.0545995067376004,0.4798205968915989,1.3902598011884408,-1.414118307684051,0.31059185203991985,5,33,-2,0,3,33,0,0,6,41,-3,-8
160101,2009,11,21,3,9315,-2.565392521310974,-0.04948510337605595,1.0503449985207431,0.7598790141011065,-1.054010453602633,-0.3668307903042526,0.09578919305118316,-1.0565509081387074,0.3673213325180256,0.7906999976703853,-1.250156759797087,-0.812820595479873,5,30,-2,-9,3,24,0,-3,6,39,-3,-18
160101,2009,12,17,4,9315,-1.50677567019792,0.0806230600513466,1.0920689736349578,0.6620103840570339,0.25445741414830403,-2.5911544009384415,0.4597327764606506,-1.2715696124668878,-0.19480972471066335,-0.9073112574702126,-0.8461285860180665,-0.8594496739946598,6,24,-2,-7,8,17,-4,0,10,25,-6,-8
