hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc5_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro1,2009,1,0,0,138,1.6346565860124855,-0.93789498461899,2.070541928618514,0.7464686187599341,-0.4566116669065123,-4.014985956167225,1.5838944416310683,-1.4856995100234776,1.106162834212868,-3.0630048433848165,-0.5984172547344282,2,3,-2,-3,0,0,0,0,2,8,-2,-8
Hydro1,2009,2,0,0,138,0.6466147314364297,-1.064920112166705,2.148012524443902,-1.0633168130974342,0.16386629709726114,-2.4216063798009153,0.8201352455369028,-0.8106018120902287,1.0748205159277968,-0.5722604679762826,-1.1191629763917967,1,2,-1,-2,0,0,0,0,2,5,-2,-5
Hydro1,2009,3,0,0,138,0.8330975444338627,-2.3605293899231,2.8112411150070256,1.1067492087409732,1.697097230977132,-4.754398639742396,2.217693574213815,-1.6382808731403131,1.556981904170421,-0.7050118273908595,-0.47343763694564817,7,5,-7,-5,3,0,-3,0,6,7,-6,-7
Hydro1,2009,4,0,0,138,1.3657962992403834,-1.9167425498687432,3.2704595069166817,1.8863177546396095,3.2196224089878447,-1.2676122394136324,0.12092847419516732,-0.3880345790645713,0.8498461156633356,-1.7948251956957757,0.5332780959428475,4,6,-4,-6,0,-0,0,0,2,8,-2,-8
Hydro1,2009,5,0,0,138,0.9368035834371428,0.33482201116190885,1.3383573067912626,-0.6997501648867303,-0.04787389479193695,-0.4115273511809835,0.00416097673916518,-0.3771155326366079,0.5300774298924582,-1.7951745240246668,1.128822847181286,1,2,-1,-2,0,-0,0,0,-2,-8,2,8
Hydro1,2009,6,0,0,138,2.3323613598042288,1.313004329604156,1.054235820703106,-0.9949914887220036,1.005288039256239,-2.197962374046575,-0.22503011682519936,-0.5290761179658456,0.6678904864459632,-1.579562815694345,0.3187583757343139,2,3,-2,-3,4,0,-4,0,4,-8,-4,8
Hydro1,2009,7,0,0,138,1.8015497654250132,0.7617028572621982,0.7653849414610514,0.2015804653111738,1.168012309887315,-0.05545722214491063,-0.2231609744282498,-0.31845112459285874,0.3473490816842502,-0.5299338243280677,-1.4285970392491878,1,4,-1,-4,-0,-0,0,0,2,-7,-2,7
Hydro1,2009,8,0,0,138,0.39102565282459606,-1.0782807276049025,0.5958685670823358,0.8512853173243738,2.6043410276949133,1.0466999894734776,0.3116710527267901,-0.4312811351823892,0.243584239195484,0.5205450911371565,-2.974930376090563,1,3,-1,-3,0,0,0,0,-2,8,2,-8
Hydro1,2009,9,0,0,138,-1.609005358114077,-1.1794323880013835,-0.11500679560131497,-0.43932893328079226,1.4230630335784271,2.0012007230801614,1.0741945094980794,-0.805032295136846,-0.03441249821520351,0.8773440334723327,-3.176130394502813,0,4,0,-4,1,1,-1,-1,2,8,-2,-8
Hydro1,2009,10,0,0,138,-1.6831457101501357,-0.8152566639846665,0.15313853904258604,-0.24410811425796508,1.487852274879702,1.1894605587061688,0.9682648634834238,-1.1635537627115804,-0.3963504446378278,0.09897617569552748,-2.1214598418304154,0,1,0,-1,-0,-1,0,1,0,8,0,-8
Hydro1,2009,11,0,0,138,-1.590481878863697,-2.00908391103294,1.0925498902306716,0.618815243398316,2.0560600675706677,0.2270925935697122,0.6902908246670094,-1.1692528257318702,-0.3220235511573424,-0.1191630797896338,-1.2965948564708842,1,2,-1,-2,0,-0,0,0,-1,8,1,-8
Hydro1,2009,12,0,0,138,0.11060783289508416,-1.476554142891429,2.002343696478387,0.9157300194648008,1.8003764761676813,-2.141208562687808,0.40928393694296494,-1.3326985781411589,-0.0671858379445599,-0.7544673981028105,-0.3075290427973491,1,6,-1,-6,1,-10,-1,10,4,1,-4,-1
Hydro1,2010,1,0,0,138,-1.3398032571269358,-1.6536117556729355,0.8135962870627099,0.1463382152762911,1.1767629181711277,-1.348933770403172,1.1671513215186329,-1.4302530940520106,0.10318659965357065,-0.4746426876386112,-0.789542190054288,0,1,0,-1,-0,-0,0,0,1,-8,-1,8
Hydro1,2010,2,0,0,138,-2.2113015924477133,-2.552521932886684,1.6531982814529231,-0.3796928325959299,1.6448768494506705,-0.4465550673271153,0.2206246608476269,-0.8936895339825168,-0.05925637556268912,-0.172238691725437,-1.162890682698755,0,1,0,-1,0,-0,0,0,2,8,-2,-8
Hydro1,2010,3,0,0,138,-1.77891222843469,-1.3299491530268366,1.4171758538764323,-0.31512885714929467,0.5308059646174431,-1.0001205274130982,1.1818591741003086,-1.407630083916004,0.04429069216613403,-0.8203572366740836,-0.4526557103696305,0,2,0,-2,0,-3,0,3,-0,-22,0,22
Hydro1,2010,4,0,0,138,-0.7052967921935984,-0.9574494400627928,2.050686474001303,-0.672574249367292,0.6963724568977648,0.12299209512737729,-0.4572265297988404,-0.8489464391025772,-0.6495529587721942,-1.5181099866022962,0.4959610754152598,0,1,0,-1,-2,-0,2,0,-3,-8,3,8
Hydro1,2010,5,0,0,138,0.11023816831138228,0.11970908958668612,1.3395395730680624,-0.8292635520369932,0.14144898306552317,0.1530037302935548,-1.0031244430787878,-0.7273521334285156,-0.8738421614729334,-1.852266156758329,1.1683141899533642,0,1,0,-1,-0,-1,0,1,0,-8,0,8
Hydro1,2010,6,0,0,138,1.3836645861164407,0.955529901402095,1.1321599658380384,-0.4652295123720076,0.9603662438987186,-2.0270637253422703,-0.09480826575899634,-1.1781454609618318,-0.23783981724225284,-1.5700175648369556,0.3351923130741552,0,2,0,-2,0,-5,0,5,-2,-54,2,54
Hydro1,2010,7,0,0,138,1.2651883720002348,1.438030531921424,0.15308123010245386,-0.22501508441967935,0.921390721315847,0.7803209850035412,-0.08684469708454384,-0.806003661961412,-0.513250689271314,-0.33178154139905075,-1.4812050466366242,1,2,-1,-2,-2,-1,2,1,-4,-8,4,8
